Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00       1/12          je_arena_malloc_hard [92]
                0.00    0.00      11/12          je_arena_tcache_fill_small [72]
[47]     0.0    0.00    0.00      12         arena_bin_malloc_hard [47]
                0.00    0.00      24/871         __libc_mutex_unlock_stub [895]
                0.00    0.00      24/26          je_extents_alloc [26]
                0.00    0.00      12/1006        je_extent_heap_remove_first [15]
                0.00    0.00      12/15          je_bitmap_init [33]
                0.00    0.00      12/13          je_extent_alloc_wrapper [45]
-----------------------------------------------
                0.00    0.00      12/12          extent_register_impl.constprop.65 [38]
[48]     0.0    0.00    0.00      12         extent_interior_register [48]
-----------------------------------------------
                0.00    0.00       1/7           je_tsd_fetch_slow [5]
                0.00    0.00       1/7           extent_register_impl.constprop.65 [38]
                0.00    0.00       2/7           a0ialloc [80]
                0.00    0.00       3/7           extent_recycle [21]
[49]     0.0    0.00    0.00       7         je_rtree_ctx_data_init [49]
-----------------------------------------------
                0.00    0.00       1/4           je_tcache_boot [114]
                0.00    0.00       1/4           je_rtree_leaf_elm_lookup_hard [53]
                0.00    0.00       1/4           je_background_thread_boot1 [98]
                0.00    0.00       1/4           je_arena_new [93]
[50]     0.0    0.00    0.00       4         je_b0get [50]
-----------------------------------------------
                0.00    0.00       1/4           je_tcache_boot [114]
                0.00    0.00       1/4           je_rtree_leaf_elm_lookup_hard [53]
                0.00    0.00       1/4           je_background_thread_boot1 [98]
                0.00    0.00       1/4           je_arena_new [93]
[51]     0.0    0.00    0.00       4         je_base_alloc [51]
-----------------------------------------------
                0.00    0.00       4/4           arena_decay_deadline_init [65]
[52]     0.0    0.00    0.00       4         je_nstime_add [52]
-----------------------------------------------
                0.00    0.00       2/4           a0ialloc [80]
                0.00    0.00       2/4           extent_rtree_leaf_elms_lookup [39]
[53]     0.0    0.00    0.00       4         je_rtree_leaf_elm_lookup_hard [53]
                0.00    0.00       4/4           memmove [55]
                0.00    0.00       2/871         __libc_mutex_unlock_stub [895]
                0.00    0.00       1/4           je_b0get [50]
                0.00    0.00       1/17          base_alloc_impl [29]
                0.00    0.00       1/4           je_base_alloc [51]
-----------------------------------------------
                0.00    0.00       1/4           malloc_init_hard <cycle 1> [4]
                0.00    0.00       1/4           je_tsd_fetch_slow [5]
                0.00    0.00       1/4           je_malloc_tsd_boot1 [1]
                0.00    0.00       1/4           je_tsd_tcache_enabled_data_init [7]
[54]     0.0    0.00    0.00       4         je_tsd_cleanup [54]
-----------------------------------------------
                0.00    0.00       4/4           je_rtree_leaf_elm_lookup_hard [53]
[55]     0.0    0.00    0.00       4         memmove [55]
-----------------------------------------------
                0.00    0.00       1/3           malloc_conf_init [117]
                0.00    0.00       2/3           __smakebuf <cycle 2> [12]
[56]     0.0    0.00    0.00       3         getenv [56]
                0.00    0.00       3/3           __envvarnamelen [903]
                0.00    0.00       3/3           __readlockenv [907]
                0.00    0.00       3/3           __findenvvar [905]
                0.00    0.00       3/3           __unlockenv [909]
-----------------------------------------------
                0.00    0.00       3/3           je_arena_new [93]
[57]     0.0    0.00    0.00       3         je_extents_init [57]
                0.00    0.00     600/868         je_extent_heap_new [16]
                0.00    0.00       3/309         je_malloc_mutex_init [18]
                0.00    0.00       3/16          memset [32]
                0.00    0.00       3/15          je_bitmap_init [33]
-----------------------------------------------
                0.00    0.00       3/3           __sfvwrite [911]
[58]     0.0    0.00    0.00       3         memcpy [58]
